file,reason
000516-2011-国际医学.txt,年份不在2015-2023范围内
000516-2012-国际医学.txt,年份不在2015-2023范围内
000516-2013-国际医学.txt,年份不在2015-2023范围内
000516-2014-国际医学.txt,年份不在2015-2023范围内
000517-2013-荣安地产.txt,年份不在2015-2023范围内
000517-2014-荣安地产.txt,年份不在2015-2023范围内
000520-2008-长航凤凰.txt,年份不在2015-2023范围内
000522-2008-白云山A.txt,年份不在2015-2023范围内
000522-2009-白云山A.txt,年份不在2015-2023范围内
000522-2010-白云山A.txt,年份不在2015-2023范围内
000522-2011-白云山A.txt,年份不在2015-2023范围内
000527-2007-美的电器.txt,年份不在2015-2023范围内
000527-2008-美的电器.txt,年份不在2015-2023范围内
000527-2009-美的电器.txt,年份不在2015-2023范围内
000527-2010-美的电器.txt,年份不在2015-2023范围内
000527-2011-美的电器.txt,年份不在2015-2023范围内
000527-2012-美的电器.txt,年份不在2015-2023范围内
000528-2006-柳工.txt,年份不在2015-2023范围内
000528-2008-柳工.txt,年份不在2015-2023范围内
000528-2009-柳工.txt,年份不在2015-2023范围内
000528-2010-柳工.txt,年份不在2015-2023范围内
000528-2011-柳工.txt,年份不在2015-2023范围内
000528-2012-柳工.txt,年份不在2015-2023范围内
000528-2013-柳工.txt,年份不在2015-2023范围内
000528-2014-柳工.txt,年份不在2015-2023范围内
000530-2013-冰山冷热.txt,年份不在2015-2023范围内
000530-2014-冰山冷热.txt,年份不在2015-2023范围内
000532-2008-华金资本.txt,年份不在2015-2023范围内
000532-2009-华金资本.txt,年份不在2015-2023范围内
000532-2010-华金资本.txt,年份不在2015-2023范围内
000536-2007-华映科技.txt,年份不在2015-2023范围内
000536-2008-华映科技.txt,年份不在2015-2023范围内
000536-2009-华映科技.txt,年份不在2015-2023范围内
000536-2010-华映科技.txt,年份不在2015-2023范围内
000536-2011-华映科技.txt,年份不在2015-2023范围内
000536-2012-华映科技.txt,年份不在2015-2023范围内
000536-2013-华映科技.txt,年份不在2015-2023范围内
000536-2014-华映科技.txt,年份不在2015-2023范围内
000538-2006-云南白药.txt,年份不在2015-2023范围内
000538-2008-云南白药.txt,年份不在2015-2023范围内
000538-2009-云南白药.txt,年份不在2015-2023范围内
000538-2010-云南白药.txt,年份不在2015-2023范围内
000538-2011-云南白药.txt,年份不在2015-2023范围内
000538-2012-云南白药.txt,年份不在2015-2023范围内
000538-2013-云南白药.txt,年份不在2015-2023范围内
000538-2014-云南白药.txt,年份不在2015-2023范围内
000539-2008-粤电力Ａ.txt,年份不在2015-2023范围内
000539-2009-粤电力Ａ.txt,年份不在2015-2023范围内
000539-2010-粤电力Ａ.txt,年份不在2015-2023范围内
000539-2011-粤电力Ａ.txt,年份不在2015-2023范围内
000539-2012-粤电力Ａ.txt,年份不在2015-2023范围内
000539-2013-粤电力Ａ.txt,年份不在2015-2023范围内
000539-2014-粤电力Ａ.txt,年份不在2015-2023范围内
000540-2011-中天金融.txt,年份不在2015-2023范围内
000540-2012-中天金融.txt,年份不在2015-2023范围内
000540-2013-中天金融.txt,年份不在2015-2023范围内
000540-2014-中天金融.txt,年份不在2015-2023范围内
000541-2008-佛山照明.txt,年份不在2015-2023范围内
000541-2009-佛山照明.txt,年份不在2015-2023范围内
000541-2010-佛山照明.txt,年份不在2015-2023范围内
000541-2011-佛山照明.txt,年份不在2015-2023范围内
000547-2007-航天发展.txt,年份不在2015-2023范围内
000547-2008-航天发展.txt,年份不在2015-2023范围内
000547-2009-航天发展.txt,年份不在2015-2023范围内
000547-2010-航天发展.txt,年份不在2015-2023范围内
000547-2011-航天发展.txt,年份不在2015-2023范围内
000547-2012-航天发展.txt,年份不在2015-2023范围内
000547-2013-航天发展.txt,年份不在2015-2023范围内
000547-2014-航天发展.txt,年份不在2015-2023范围内
000550-2010-江铃汽车.txt,年份不在2015-2023范围内
000550-2011-江铃汽车.txt,年份不在2015-2023范围内
000550-2012-江铃汽车.txt,年份不在2015-2023范围内
000550-2013-江铃汽车.txt,年份不在2015-2023范围内
000550-2014-江铃汽车.txt,年份不在2015-2023范围内
000559-2010-万向钱潮.txt,年份不在2015-2023范围内
000559-2011-万向钱潮.txt,年份不在2015-2023范围内
000559-2012-万向钱潮.txt,年份不在2015-2023范围内
000559-2013-万向钱潮.txt,年份不在2015-2023范围内
000559-2014-万向钱潮.txt,年份不在2015-2023范围内
000562-2008-宏源证券.txt,年份不在2015-2023范围内
000562-2009-宏源证券.txt,年份不在2015-2023范围内
000562-2010-宏源证券.txt,年份不在2015-2023范围内
000562-2011-宏源证券.txt,年份不在2015-2023范围内
000562-2012-宏源证券.txt,年份不在2015-2023范围内
000562-2013-宏源证券.txt,年份不在2015-2023范围内
000563-2007-陕国投Ａ.txt,年份不在2015-2023范围内
000563-2008-陕国投Ａ.txt,年份不在2015-2023范围内
000563-2009-陕国投Ａ.txt,年份不在2015-2023范围内
000563-2010-陕国投Ａ.txt,年份不在2015-2023范围内
000563-2011-陕国投Ａ.txt,年份不在2015-2023范围内
000563-2012-陕国投Ａ.txt,年份不在2015-2023范围内
000563-2013-陕国投Ａ.txt,年份不在2015-2023范围内
000563-2014-陕国投Ａ.txt,年份不在2015-2023范围内
000564-2009-ST大集.txt,年份不在2015-2023范围内
000564-2010-ST大集.txt,年份不在2015-2023范围内
000565-2011-渝三峡Ａ.txt,年份不在2015-2023范围内
000568-2006-泸州老窖.txt,年份不在2015-2023范围内
000568-2008-泸州老窖.txt,年份不在2015-2023范围内
000568-2009-泸州老窖.txt,年份不在2015-2023范围内
000568-2010-泸州老窖.txt,年份不在2015-2023范围内
000568-2011-泸州老窖.txt,年份不在2015-2023范围内
000568-2012-泸州老窖.txt,年份不在2015-2023范围内
000568-2013-泸州老窖.txt,年份不在2015-2023范围内
000568-2014-泸州老窖.txt,年份不在2015-2023范围内
000581-2008-威孚高科.txt,年份不在2015-2023范围内
000581-2009-威孚高科.txt,年份不在2015-2023范围内
000581-2011-威孚高科.txt,年份不在2015-2023范围内
000581-2012-威孚高科.txt,年份不在2015-2023范围内
000581-2013-威孚高科.txt,年份不在2015-2023范围内
000581-2014-威孚高科.txt,年份不在2015-2023范围内
000592-2010-平潭发展.txt,年份不在2015-2023范围内
000592-2011-平潭发展.txt,年份不在2015-2023范围内
000592-2012-平潭发展.txt,年份不在2015-2023范围内
000592-2013-平潭发展.txt,年份不在2015-2023范围内
000592-2014-平潭发展.txt,年份不在2015-2023范围内
000596-2012-古井贡酒.txt,年份不在2015-2023范围内
000596-2013-古井贡酒.txt,年份不在2015-2023范围内
000596-2014-古井贡酒.txt,年份不在2015-2023范围内
000597-2010-东北制药.txt,年份不在2015-2023范围内
000598-2010-兴蓉环境.txt,年份不在2015-2023范围内
000598-2011-兴蓉环境.txt,年份不在2015-2023范围内
000598-2012-兴蓉环境.txt,年份不在2015-2023范围内
000598-2013-兴蓉环境.txt,年份不在2015-2023范围内
000598-2014-兴蓉环境.txt,年份不在2015-2023范围内
000607-2014-华媒控股.txt,年份不在2015-2023范围内
000612-2008-焦作万方.txt,年份不在2015-2023范围内
000612-2009-焦作万方.txt,年份不在2015-2023范围内
000612-2010-焦作万方.txt,年份不在2015-2023范围内
000612-2011-焦作万方.txt,年份不在2015-2023范围内
000612-2012-焦作万方.txt,年份不在2015-2023范围内
000623-2008-吉林敖东.txt,年份不在2015-2023范围内
000623-2009-吉林敖东.txt,年份不在2015-2023范围内
000623-2010-吉林敖东.txt,年份不在2015-2023范围内
000623-2011-吉林敖东.txt,年份不在2015-2023范围内
000623-2012-吉林敖东.txt,年份不在2015-2023范围内
000623-2013-吉林敖东.txt,年份不在2015-2023范围内
000623-2014-吉林敖东.txt,年份不在2015-2023范围内
000625-2008-长安汽车.txt,年份不在2015-2023范围内
000625-2009-长安汽车.txt,年份不在2015-2023范围内
000625-2010-长安汽车.txt,年份不在2015-2023范围内
000625-2011-长安汽车.txt,年份不在2015-2023范围内
000625-2012-长安汽车.txt,年份不在2015-2023范围内
000625-2013-长安汽车.txt,年份不在2015-2023范围内
000625-2014-长安汽车.txt,年份不在2015-2023范围内
000627-2008-天茂集团.txt,年份不在2015-2023范围内
000627-2009-天茂集团.txt,年份不在2015-2023范围内
000627-2010-天茂集团.txt,年份不在2015-2023范围内
000627-2011-天茂集团.txt,年份不在2015-2023范围内
000627-2012-天茂集团.txt,年份不在2015-2023范围内
000627-2013-天茂集团.txt,年份不在2015-2023范围内
000627-2014-天茂集团.txt,年份不在2015-2023范围内
000629-2008-钒钛股份.txt,年份不在2015-2023范围内
000629-2009-钒钛股份.txt,年份不在2015-2023范围内
000629-2011-钒钛股份.txt,年份不在2015-2023范围内
000629-2012-钒钛股份.txt,年份不在2015-2023范围内
000629-2013-钒钛股份.txt,年份不在2015-2023范围内
000629-2014-钒钛股份.txt,年份不在2015-2023范围内
000630-2006-铜陵有色.txt,年份不在2015-2023范围内
000630-2008-铜陵有色.txt,年份不在2015-2023范围内
000630-2009-铜陵有色.txt,年份不在2015-2023范围内
000630-2010-铜陵有色.txt,年份不在2015-2023范围内
000630-2011-铜陵有色.txt,年份不在2015-2023范围内
000630-2012-铜陵有色.txt,年份不在2015-2023范围内
000630-2013-铜陵有色.txt,年份不在2015-2023范围内
000630-2014-铜陵有色.txt,年份不在2015-2023范围内
000632-2007-三木集团.txt,年份不在2015-2023范围内
000632-2008-三木集团.txt,年份不在2015-2023范围内
000632-2009-三木集团.txt,年份不在2015-2023范围内
000632-2010-三木集团.txt,年份不在2015-2023范围内
000632-2011-三木集团.txt,年份不在2015-2023范围内
000632-2012-三木集团.txt,年份不在2015-2023范围内
000632-2013-三木集团.txt,年份不在2015-2023范围内
000632-2014-三木集团.txt,年份不在2015-2023范围内
000635-2007-英力特.txt,年份不在2015-2023范围内
000635-2008-英力特.txt,年份不在2015-2023范围内
000635-2009-英力特.txt,年份不在2015-2023范围内
000635-2010-英力特.txt,年份不在2015-2023范围内
000635-2011-英力特.txt,年份不在2015-2023范围内
000635-2012-英力特.txt,年份不在2015-2023范围内
000635-2013-英力特.txt,年份不在2015-2023范围内
000635-2014-英力特.txt,年份不在2015-2023范围内
000651-2006-格力电器.txt,年份不在2015-2023范围内
000651-2007-格力电器.txt,年份不在2015-2023范围内
000651-2008-格力电器.txt,年份不在2015-2023范围内
000651-2009-格力电器.txt,年份不在2015-2023范围内
000651-2010-格力电器.txt,年份不在2015-2023范围内
000651-2011-格力电器.txt,年份不在2015-2023范围内
000651-2012-格力电器.txt,年份不在2015-2023范围内
000651-2013-格力电器.txt,年份不在2015-2023范围内
000651-2014-格力电器.txt,年份不在2015-2023范围内
000652-2008-泰达股份.txt,年份不在2015-2023范围内
000652-2009-泰达股份.txt,年份不在2015-2023范围内
000652-2010-泰达股份.txt,年份不在2015-2023范围内
000652-2011-泰达股份.txt,年份不在2015-2023范围内
000652-2012-泰达股份.txt,年份不在2015-2023范围内
000652-2013-泰达股份.txt,年份不在2015-2023范围内
000652-2014-泰达股份.txt,年份不在2015-2023范围内
000655-2008-金岭矿业.txt,年份不在2015-2023范围内
000655-2009-金岭矿业.txt,年份不在2015-2023范围内
000655-2010-金岭矿业.txt,年份不在2015-2023范围内
000655-2011-金岭矿业.txt,年份不在2015-2023范围内
000655-2012-金岭矿业.txt,年份不在2015-2023范围内
000655-2013-金岭矿业.txt,年份不在2015-2023范围内
000655-2014-金岭矿业.txt,年份不在2015-2023范围内
000663-2007-永安林业.txt,年份不在2015-2023范围内
000663-2008-永安林业.txt,年份不在2015-2023范围内
000663-2009-永安林业.txt,年份不在2015-2023范围内
000663-2010-永安林业.txt,年份不在2015-2023范围内
000663-2011-永安林业.txt,年份不在2015-2023范围内
000663-2012-永安林业.txt,年份不在2015-2023范围内
000663-2013-永安林业.txt,年份不在2015-2023范围内
000663-2014-永安林业.txt,年份不在2015-2023范围内
000666-2008-经纬纺机.txt,年份不在2015-2023范围内
000666-2012-经纬纺机.txt,年份不在2015-2023范围内
000666-2014-经纬纺机.txt,年份不在2015-2023范围内
000667-2008-美好置业.txt,年份不在2015-2023范围内
000667-2009-美好置业.txt,年份不在2015-2023范围内
000667-2010-美好置业.txt,年份不在2015-2023范围内
000667-2011-美好置业.txt,年份不在2015-2023范围内
000667-2012-美好置业.txt,年份不在2015-2023范围内
000671-2006-阳光城.txt,年份不在2015-2023范围内
000671-2007-阳光城.txt,年份不在2015-2023范围内
000671-2008-阳光城.txt,年份不在2015-2023范围内
000671-2009-阳光城.txt,年份不在2015-2023范围内
000671-2010-阳光城.txt,年份不在2015-2023范围内
000671-2011-阳光城.txt,年份不在2015-2023范围内
000671-2012-阳光城.txt,年份不在2015-2023范围内
000671-2013-阳光城.txt,年份不在2015-2023范围内
000671-2014-阳光城.txt,年份不在2015-2023范围内
000672-2014-上峰水泥.txt,年份不在2015-2023范围内
000680-2008-山推股份.txt,年份不在2015-2023范围内
000680-2009-山推股份.txt,年份不在2015-2023范围内
000680-2010-山推股份.txt,年份不在2015-2023范围内
000680-2011-山推股份.txt,年份不在2015-2023范围内
000680-2012-山推股份.txt,年份不在2015-2023范围内
000680-2013-山推股份.txt,年份不在2015-2023范围内
000680-2014-山推股份.txt,年份不在2015-2023范围内
000686-2008-东北证券.txt,年份不在2015-2023范围内
000686-2009-东北证券.txt,年份不在2015-2023范围内
000686-2010-东北证券.txt,年份不在2015-2023范围内
000686-2011-东北证券.txt,年份不在2015-2023范围内
000686-2012-东北证券.txt,年份不在2015-2023范围内
000686-2013-东北证券.txt,年份不在2015-2023范围内
000686-2014-东北证券.txt,年份不在2015-2023范围内
000690-2008-宝新能源.txt,年份不在2015-2023范围内
000690-2009-宝新能源.txt,年份不在2015-2023范围内
000690-2010-宝新能源.txt,年份不在2015-2023范围内
000690-2011-宝新能源.txt,年份不在2015-2023范围内
000690-2012-宝新能源.txt,年份不在2015-2023范围内
000690-2013-宝新能源.txt,年份不在2015-2023范围内
